Modelo,Velocidade (km/h)
Pontiac Firebird,110
Lincoln Continental,148
Fiat X1-9,115
Lincoln Continental,145
Cadillac Fleetwood,131
Lincoln Continental,165
Merc 230,124
Merc 280C,143
Camaro Z28,141
Merc 450SE,144
Merc 450SE,136
Pontiac Firebird,116
Honda Civic,127
Porsche 914-2,95
Maserati Bora,134
Lotus Europa,93
Honda Civic,142
Ferrari Dino,133
Merc 450SLC,101
Cadillac Fleetwood,146
Honda Civic,141
Ford Pantera L,83
Toyota Corona,78
Merc 240D,140
Maserati Bora,141
Fiat 128,95
Merc 450SL,100
Ferrari Dino,149
Volvo 142E,97
Fiat 128,113
Pontiac Firebird,120
Duster 360,132
Honda Civic,117
Toyota Corona,104
Pontiac Firebird,127
Lincoln Continental,154
Fiat X1-9,105
Merc 450SLC,112
Ferrari Dino,140
Merc 450SLC,117
Valiant,110
Merc 450SE,144
Merc 230,138
Dodge Challenger,109
Merc 280,149
Hornet Sportabout,137
Merc 230,124
Valiant,96
Pontiac Firebird,112
Camaro Z28,125
Toyota Corolla,103
Mazda RX4 Wag,122
Chrysler Imperial,134
Volvo 142E,78
Honda Civic,134
AMC Javelin,141
Merc 450SE,143
AMC Javelin,151
Valiant,103
Camaro Z28,150
Lotus Europa,108
Hornet Sportabout,121
Merc 450SLC,113
Merc 280,142
Merc 450SE,129
Camaro Z28,117
Merc 240D,140
Merc 280C,147
Lotus Europa,116
Datsun 710,139
Merc 240D,121
Lotus Europa,107
Valiant,130
Porsche 914-2,102
Porsche 914-2,111
Fiat X1-9,119
Merc 450SLC,93
Merc 240D,125
Hornet Sportabout,147
Camaro Z28,149
Merc 450SE,150
Toyota Corolla,86
AMC Javelin,147
Pontiac Firebird,129
Fiat X1-9,118
Valiant,88
Merc 240D,142
Hornet 4 Drive,158
Mazda RX4 Wag,118
Lotus Europa,100
Merc 280,142
Toyota Corona,96
Merc 450SL,95
Pontiac Firebird,124
AMC Javelin,152
Datsun 710,128
Mazda RX4 Wag,100
Ferrari Dino,150
Ferrari Dino,130
Camaro Z28,160
Merc 240D,130
Camaro Z28,154
Fiat X1-9,111
Datsun 710,135
Pontiac Firebird,113
Duster 360,127
Merc 450SLC,118
Volvo 142E,99
Honda Civic,127
Hornet Sportabout,137
Porsche 914-2,114
Volvo 142E,100
Merc 450SLC,96
Merc 230,132
Merc 450SLC,115
Volvo 142E,112
Pontiac Firebird,104
Valiant,99
Lotus Europa,111
Fiat X1-9,108
Valiant,90
Pontiac Firebird,121
Valiant,92
Cadillac Fleetwood,146
Toyota Corona,83
Merc 240D,122
Hornet Sportabout,138
Honda Civic,132
Merc 280,144
Merc 240D,157
Hornet Sportabout,142
Volvo 142E,112
Hornet Sportabout,127
Mazda RX4 Wag,111
Hornet Sportabout,136
Merc 230,137
Merc 240D,141
Camaro Z28,151
Duster 360,111
AMC Javelin,145
Porsche 914-2,109
Fiat 128,101
Merc 230,124
Hornet 4 Drive,115
Ford Pantera L,95
Camaro Z28,156
Merc 280,142
Mazda RX4 Wag,98
Toyota Corolla,103
Datsun 710,136
Toyota Corona,96
Porsche 914-2,120
Dodge Challenger,103
Dodge Challenger,91
Maserati Bora,119
Volvo 142E,81
Merc 230,135
Duster 360,145
Porsche 914-2,112
Dodge Challenger,105
Duster 360,140
Mazda RX4 Wag,115
Hornet 4 Drive,133
Toyota Corona,107
Datsun 710,136
Merc 240D,124
Hornet Sportabout,141
Volvo 142E,110
Volvo 142E,98
Merc 280,143
Honda Civic,132
Camaro Z28,146
Porsche 914-2,102
Hornet Sportabout,156
Hornet 4 Drive,120
Lotus Europa,120
Dodge Challenger,105
Hornet Sportabout,147
Merc 230,119
Volvo 142E,95
Porsche 914-2,103
Porsche 914-2,125
Merc 280C,142
Mazda RX4 Wag,93
Ferrari Dino,151
Merc 230,129
Hornet 4 Drive,119
Camaro Z28,153
Maserati Bora,134
Volvo 142E,110
Honda Civic,144
Hornet 4 Drive,120
AMC Javelin,157
Mazda RX4 Wag,100
Fiat X1-9,107
Porsche 914-2,96
Lincoln Continental,145
Toyota Corona,101
Mazda RX4 Wag,104
Pontiac Firebird,104
Merc 450SL,97
Mazda RX4 Wag,98
Camaro Z28,139
Ford Pantera L,91
Honda Civic,115
Merc 280,140
Ferrari Dino,129
Mazda RX4 Wag,91
Merc 450SLC,102
Camaro Z28,136
Porsche 914-2,96
Datsun 710,115
Porsche 914-2,90
Merc 230,127
Merc 230,129
Fiat X1-9,132
Honda Civic,125
Duster 360,134
Lotus Europa,92
Dodge Challenger,85
Duster 360,124
Honda Civic,121
Merc 280C,152
Merc 230,131
Fiat X1-9,109
Ford Pantera L,82
Honda Civic,134
Hornet Sportabout,115
Camaro Z28,155
Hornet Sportabout,136
Toyota Corona,98
Merc 240D,123
Pontiac Firebird,114
Porsche 914-2,99
Merc 450SLC,113
Valiant,90
Camaro Z28,141
Merc 280,139
Pontiac Firebird,126
Merc 450SE,167
Hornet Sportabout,145
Ford Pantera L,86
Hornet Sportabout,135
Cadillac Fleetwood,140
Duster 360,130
Merc 280,144
Fiat X1-9,131
Merc 450SE,138
Pontiac Firebird,118
Merc 450SL,113
Honda Civic,134
Ford Pantera L,95
Merc 280C,153
Porsche 914-2,92
Dodge Challenger,122
Pontiac Firebird,133
Merc 280,127
AMC Javelin,123
Merc 280,153
Hornet Sportabout,140
Merc 280C,141
Volvo 142E,94
Dodge Challenger,122
Toyota Corolla,114
Mazda RX4 Wag,102
Ford Pantera L,80
Hornet 4 Drive,143
Merc 450SE,146
Dodge Challenger,105
Cadillac Fleetwood,134
Merc 280C,140
Duster 360,142
Fiat X1-9,116
Porsche 914-2,100
Merc 230,135
Dodge Challenger,90
Merc 230,133
Pontiac Firebird,98
Merc 280,139
Honda Civic,142
Honda Civic,142
Cadillac Fleetwood,133
Lincoln Continental,146
Merc 230,132
Valiant,101
Porsche 914-2,102
Duster 360,127
Merc 450SE,157
Merc 280,136
Merc 230,116
AMC Javelin,140
Volvo 142E,87
Volvo 142E,120
Volvo 142E,89
Lotus Europa,94
Hornet Sportabout,125
Merc 450SE,144
Porsche 914-2,96
Pontiac Firebird,120
Merc 240D,152
Ford Pantera L,96
Mazda RX4 Wag,110
Duster 360,136
Valiant,94
Volvo 142E,90
Mazda RX4 Wag,106
Merc 280C,148
Porsche 914-2,107
Camaro Z28,142
Ferrari Dino,138
Dodge Challenger,100
Valiant,95
Maserati Bora,126
Maserati Bora,119
Merc 280,142
Hornet Sportabout,143
Lotus Europa,111
Cadillac Fleetwood,128
Fiat 128,107
Merc 280C,154
Maserati Bora,131
Mazda RX4 Wag,116
Maserati Bora,132
Camaro Z28,148
Merc 450SLC,113
AMC Javelin,147
Hornet Sportabout,148
Lotus Europa,96
Ford Pantera L,89
Volvo 142E,93
Toyota Corolla,106
Camaro Z28,154
Camaro Z28,144
Dodge Challenger,110
Porsche 914-2,113
Duster 360,132
Datsun 710,129
Ferrari Dino,140
Fiat X1-9,103
Valiant,80
Hornet Sportabout,137
Merc 450SE,150
Dodge Challenger,111
Hornet Sportabout,133
Volvo 142E,103
Porsche 914-2,119
Hornet 4 Drive,130
Volvo 142E,87
Mazda RX4 Wag,119
Hornet Sportabout,145
Toyota Corona,120
Chrysler Imperial,129
Camaro Z28,131
Lincoln Continental,156
Merc 280,133
Duster 360,130
Camaro Z28,159
AMC Javelin,147
Mazda RX4 Wag,125
Merc 280,142
Merc 450SLC,126
Pontiac Firebird,111
Fiat X1-9,113
Merc 230,127
Pontiac Firebird,101
Merc 450SL,96
Pontiac Firebird,140
Lincoln Continental,135
Duster 360,140
Hornet 4 Drive,124
Merc 450SLC,105
Lincoln Continental,143
AMC Javelin,144
Camaro Z28,139
Lincoln Continental,149
Lotus Europa,94
Merc 230,133
Pontiac Firebird,97
Pontiac Firebird,130
Volvo 142E,85
Merc 240D,125
Camaro Z28,147
Fiat X1-9,137
Merc 230,116
Ford Pantera L,79
Duster 360,136
Ford Pantera L,90
Hornet 4 Drive,139
Hornet Sportabout,125
Lotus Europa,92
Honda Civic,131
Mazda RX4 Wag,110
Hornet Sportabout,127
Toyota Corona,83
Datsun 710,140
Merc 240D,118
Volvo 142E,96
Merc 450SL,81
Hornet 4 Drive,125
Ferrari Dino,138
Honda Civic,127
Toyota Corona,93
Merc 450SLC,117
Datsun 710,140
Maserati Bora,120
Merc 230,125
Hornet 4 Drive,148
Merc 450SLC,134
Honda Civic,134
Maserati Bora,145
Merc 280C,154
Honda Civic,119
Hornet 4 Drive,131
Volvo 142E,101
Pontiac Firebird,105
Merc 280,135
Duster 360,147
Merc 280,166
Hornet 4 Drive,125
Merc 240D,153
Pontiac Firebird,112
Duster 360,149
Hornet Sportabout,128
Honda Civic,133
AMC Javelin,150
Honda Civic,121
Valiant,110
Ferrari Dino,133
Honda Civic,129
Merc 230,114
Merc 450SE,149
Dodge Challenger,87
Merc 450SE,147
Valiant,108
Merc 280,135
Camaro Z28,146
Duster 360,127
Hornet Sportabout,135
Mazda RX4 Wag,120
Cadillac Fleetwood,127
Duster 360,125
Merc 450SLC,132
Hornet Sportabout,140
Chrysler Imperial,144
Merc 450SLC,114
Merc 230,127
Pontiac Firebird,106
Camaro Z28,152
Dodge Challenger,108
Ford Pantera L,98
Fiat 128,95
Fiat 128,107
Merc 450SLC,127
Merc 450SE,145
Maserati Bora,123
Merc 280,143
Duster 360,135
Camaro Z28,134
Mazda RX4 Wag,111
Mazda RX4 Wag,88
Duster 360,135
Maserati Bora,129
Merc 280,162
Dodge Challenger,98
Hornet 4 Drive,145
Toyota Corolla,129
Lotus Europa,96
Duster 360,132
Hornet Sportabout,132
Merc 280,155
Merc 450SE,125
Valiant,89
Hornet 4 Drive,134
Merc 450SLC,98
Ferrari Dino,156
Hornet 4 Drive,138
Hornet 4 Drive,140
Mazda RX4 Wag,108
Camaro Z28,133
Fiat 128,97
Camaro Z28,127
Hornet Sportabout,151
Pontiac Firebird,117
Toyota Corolla,108
Toyota Corona,92
Ford Pantera L,89
Camaro Z28,144
Honda Civic,138
Honda Civic,139
Pontiac Firebird,130
Merc 280C,150
Toyota Corolla,111
Merc 240D,149
Chrysler Imperial,131
Duster 360,134
Datsun 710,149
Volvo 142E,74
Valiant,123
Merc 230,130
Hornet 4 Drive,135
Merc 230,113
Datsun 710,133
Cadillac Fleetwood,129
Ford Pantera L,89
Duster 360,123
Lotus Europa,90
Hornet Sportabout,149
Camaro Z28,160
Duster 360,126
Dodge Challenger,91
Porsche 914-2,120
Honda Civic,139
Hornet Sportabout,133
Mazda RX4 Wag,98
Merc 240D,123
Merc 240D,110
Merc 240D,141
Merc 240D,146
Duster 360,144
Camaro Z28,159
Hornet Sportabout,139
Lincoln Continental,149
Camaro Z28,143
Porsche 914-2,111
Honda Civic,122
Porsche 914-2,93
Merc 450SLC,115
Volvo 142E,94
Mazda RX4 Wag,102
Chrysler Imperial,143
Camaro Z28,156
Hornet 4 Drive,125
Lincoln Continental,141
Merc 240D,114
Fiat 128,129
Chrysler Imperial,120
Maserati Bora,130
Merc 240D,126
Ferrari Dino,124
Merc 280C,142
Hornet Sportabout,143
Volvo 142E,77
Datsun 710,153
Merc 230,131
Datsun 710,135
Dodge Challenger,124
Pontiac Firebird,136
Pontiac Firebird,123
Mazda RX4 Wag,80
Camaro Z28,150
Pontiac Firebird,124
Merc 230,129
Toyota Corona,98
Valiant,99
Merc 230,122
Merc 230,131
Merc 230,134
Toyota Corolla,114
Merc 280,141
Toyota Corona,95
Merc 230,127
Valiant,89
Ford Pantera L,91
Merc 230,132
Lotus Europa,93
Lotus Europa,101
Dodge Challenger,100
Toyota Corolla,92
Duster 360,121
Datsun 710,137
Merc 230,129
Volvo 142E,82
Ferrari Dino,133
Merc 450SLC,117
Fiat 128,92
Merc 450SL,103
Porsche 914-2,113
Mazda RX4 Wag,97
Camaro Z28,163
Volvo 142E,90
Porsche 914-2,94
AMC Javelin,146
Merc 450SL,109
Mazda RX4 Wag,106
Pontiac Firebird,122
Merc 450SLC,121
Merc 450SLC,109
Merc 450SE,158
Hornet Sportabout,147
Hornet 4 Drive,117
Toyota Corona,104
Merc 230,137
AMC Javelin,161
Merc 450SLC,127
Merc 450SLC,111
Merc 280,127
Mazda RX4 Wag,105
Lincoln Continental,143
Camaro Z28,134
Volvo 142E,89
Hornet Sportabout,119
Honda Civic,137
Merc 450SL,118
Merc 450SL,80
Merc 450SLC,119
Dodge Challenger,113
Merc 280,146
Fiat X1-9,100
Hornet 4 Drive,134
Merc 280C,143
Merc 450SL,101
Toyota Corolla,112
Merc 240D,127
Hornet 4 Drive,138
Ford Pantera L,107
Merc 280C,139
Hornet Sportabout,146
Datsun 710,140
Fiat X1-9,122
Ford Pantera L,98
Merc 450SE,159
Datsun 710,132
Merc 280C,168
Valiant,101
Maserati Bora,137
Porsche 914-2,117
Ferrari Dino,132
Ford Pantera L,92
Merc 450SE,166
Volvo 142E,74
Lotus Europa,126
Camaro Z28,147
Fiat X1-9,97
Datsun 710,121
Camaro Z28,150
Hornet 4 Drive,137
Cadillac Fleetwood,121
Merc 450SLC,114
Valiant,107
Duster 360,118
Toyota Corona,103
Merc 280C,151
Volvo 142E,101
Mazda RX4 Wag,107
Ford Pantera L,84
AMC Javelin,154
Porsche 914-2,85
Merc 230,127
Valiant,100
Fiat X1-9,119
Toyota Corona,94
Porsche 914-2,103
Merc 240D,137
Hornet 4 Drive,132
Lotus Europa,98
Toyota Corolla,98
Datsun 710,131
Merc 450SL,90
Hornet Sportabout,143
Lincoln Continental,121
Honda Civic,131
Mazda RX4 Wag,94
Fiat 128,98
Lotus Europa,104
Camaro Z28,159
Camaro Z28,163
Toyota Corona,100
Merc 280C,146
Merc 450SLC,129
Merc 280,138
Lotus Europa,114
Honda Civic,139
Lotus Europa,116
Merc 450SLC,129
Maserati Bora,122
Merc 450SL,104
Valiant,93
Duster 360,141
Mazda RX4 Wag,86
Toyota Corona,109
Merc 450SLC,113
Pontiac Firebird,130
AMC Javelin,146
Lotus Europa,102
Merc 230,117
Hornet 4 Drive,145
Hornet 4 Drive,128
Hornet Sportabout,129
Fiat X1-9,121
Merc 450SE,146
Porsche 914-2,136
Porsche 914-2,108
Merc 450SE,166
Maserati Bora,124
Hornet Sportabout,128
Camaro Z28,138
Merc 230,128
Mazda RX4 Wag,99
Merc 280,140
Fiat X1-9,111
Porsche 914-2,120
Datsun 710,133
Volvo 142E,111
Merc 450SLC,125
Ferrari Dino,142
Pontiac Firebird,124
Merc 230,127
Merc 450SL,101
Merc 280,134
Merc 240D,138
Volvo 142E,89
Hornet Sportabout,135
Duster 360,141
Cadillac Fleetwood,149
Hornet Sportabout,140
Lincoln Continental,144
Merc 280C,138
Merc 280,136
Datsun 710,144
Merc 450SLC,131
Porsche 914-2,105
Hornet Sportabout,152
Dodge Challenger,104
Valiant,96
Hornet Sportabout,150
Pontiac Firebird,123
Merc 230,120
Datsun 710,116
Merc 450SLC,106
Merc 450SLC,121
Honda Civic,118
Fiat X1-9,114
Merc 280,125
Merc 240D,120
Mazda RX4 Wag,99
Fiat X1-9,116
Merc 280,125
Pontiac Firebird,123
Cadillac Fleetwood,140
Honda Civic,134
Toyota Corolla,86
Dodge Challenger,95
Merc 280C,133
Ferrari Dino,140
Porsche 914-2,106
Mazda RX4 Wag,92
Merc 280,142
Toyota Corolla,118
Lotus Europa,107
Camaro Z28,158
Merc 450SLC,121
Merc 280,130
Datsun 710,131
Merc 450SE,155
Cadillac Fleetwood,138
Chrysler Imperial,113
Merc 450SE,158
Maserati Bora,123
Cadillac Fleetwood,130
Pontiac Firebird,119
Toyota Corolla,113
Fiat 128,94
Fiat X1-9,128
Maserati Bora,116
Merc 280,139
Merc 450SE,165
Toyota Corolla,105
Valiant,91
Lincoln Continental,145
Merc 450SLC,134
Merc 230,125
Merc 450SLC,111
Volvo 142E,84
Duster 360,150
Duster 360,132
Duster 360,152
Dodge Challenger,101
Merc 450SE,127
Hornet 4 Drive,123
Lotus Europa,100
Honda Civic,138
AMC Javelin,163
Pontiac Firebird,125
Duster 360,137
AMC Javelin,151
Lotus Europa,92
Mazda RX4 Wag,115
Pontiac Firebird,142
Ford Pantera L,92
Valiant,101
Merc 240D,135
Hornet Sportabout,154
Fiat 128,88
Hornet Sportabout,139
Duster 360,143
Merc 280,144
Mazda RX4 Wag,92
Fiat X1-9,112
Maserati Bora,117
Toyota Corona,86
Merc 280,134
Hornet 4 Drive,134
Merc 450SE,141
Mazda RX4 Wag,105
Honda Civic,123
Pontiac Firebird,111
Merc 450SE,141
Ferrari Dino,139
Fiat X1-9,98
AMC Javelin,145
Porsche 914-2,103
Merc 240D,139
Valiant,93
Toyota Corona,109
Merc 450SLC,127
Toyota Corona,92
Merc 280C,138
Honda Civic,136
Camaro Z28,143
Maserati Bora,138
Merc 450SE,148
Fiat X1-9,101
Duster 360,117
Merc 280,122
Merc 450SLC,117
Duster 360,120
Datsun 710,140
Mazda RX4 Wag,89
Merc 280C,153
Ferrari Dino,155
Merc 280C,143
Toyota Corona,85
Merc 450SL,83
Valiant,106
Hornet 4 Drive,123
Hornet Sportabout,141
Valiant,108
AMC Javelin,133
Duster 360,125
Volvo 142E,93
Valiant,111
Camaro Z28,144
Volvo 142E,94
Merc 450SLC,130
Ferrari Dino,140
Merc 280,142
Honda Civic,137
Porsche 914-2,111
Hornet Sportabout,149
Porsche 914-2,106
Merc 450SLC,120
Lincoln Continental,134
Merc 280,153
Merc 450SL,107
Valiant,110
Datsun 710,134
Merc 280,129
Duster 360,125
Datsun 710,133
Pontiac Firebird,115
Cadillac Fleetwood,123
Merc 280,147
Merc 450SE,149
Maserati Bora,118
Chrysler Imperial,112
Pontiac Firebird,111
Merc 240D,144
Merc 450SE,125
Ferrari Dino,119
Pontiac Firebird,141
Hornet Sportabout,129
Merc 450SL,94
Merc 450SLC,122
Merc 280C,148
Merc 230,113
Hornet Sportabout,130
Merc 230,134
AMC Javelin,136
Camaro Z28,159
Duster 360,126
Ford Pantera L,85
Merc 450SLC,116
Hornet 4 Drive,115
Lincoln Continental,132
Merc 280C,140
Merc 450SL,82
Merc 240D,124
Datsun 710,127
Toyota Corolla,100
Hornet 4 Drive,142
Honda Civic,140
AMC Javelin,158
Merc 450SL,112
Hornet Sportabout,122
Merc 450SE,138
Volvo 142E,89
Ford Pantera L,99
Valiant,110
Merc 280,141
Ford Pantera L,91
Hornet Sportabout,121
Datsun 710,133
Honda Civic,138
Merc 230,117
AMC Javelin,145
Merc 280C,145
Lotus Europa,80
Hornet Sportabout,147
Honda Civic,131
Valiant,104
Toyota Corolla,107
Maserati Bora,120
Honda Civic,135
Maserati Bora,112
Toyota Corona,75
Volvo 142E,90
Chrysler Imperial,136
Merc 230,144
Valiant,106
Duster 360,122
Merc 450SL,88
Valiant,80
Merc 280,128
Duster 360,119
Camaro Z28,132
Lotus Europa,102
Fiat 128,114
Duster 360,133
Merc 450SE,133
Camaro Z28,145
Merc 450SE,127
Fiat X1-9,115
Merc 240D,128
Lotus Europa,108
Merc 450SLC,91
Volvo 142E,96
Lotus Europa,94
Merc 230,118
Merc 230,130
Honda Civic,133
Honda Civic,112
Duster 360,144
Merc 230,137
Pontiac Firebird,117
Merc 280,152
Cadillac Fleetwood,118
Ferrari Dino,119
Merc 240D,146
Dodge Challenger,118
Merc 450SLC,110
Chrysler Imperial,133
Ford Pantera L,90
Datsun 710,129
Pontiac Firebird,121
Cadillac Fleetwood,110
Mazda RX4 Wag,105
Dodge Challenger,131
Toyota Corona,89
Porsche 914-2,109
Duster 360,128
Merc 230,134
Merc 280,130
Ford Pantera L,78
Merc 280,142
Valiant,107
Cadillac Fleetwood,125
Lotus Europa,98
Duster 360,140
Camaro Z28,138
Hornet Sportabout,143
Maserati Bora,134
Honda Civic,127
Toyota Corona,79
Hornet 4 Drive,128
Honda Civic,146
Fiat X1-9,124
Merc 450SE,139
Honda Civic,137
Merc 450SL,98
Lincoln Continental,140
Lotus Europa,117
Merc 230,125
Hornet 4 Drive,121
Camaro Z28,141
Chrysler Imperial,127
Merc 450SE,162
Merc 240D,134
Hornet 4 Drive,131
Dodge Challenger,124
Porsche 914-2,103
Ferrari Dino,143
Chrysler Imperial,128
Toyota Corolla,103
Volvo 142E,94
Valiant,103
Merc 450SE,138
Datsun 710,145
Lincoln Continental,138
Ferrari Dino,131
Duster 360,137
Merc 450SLC,114
Duster 360,127
Fiat X1-9,103
Honda Civic,140
Porsche 914-2,111
Mazda RX4 Wag,116
Honda Civic,137
Lotus Europa,111
Merc 450SLC,122
Duster 360,119
Lotus Europa,109
Merc 280C,132
Fiat X1-9,104
Camaro Z28,156
Pontiac Firebird,117
Cadillac Fleetwood,128
Camaro Z28,159
Camaro Z28,148
Mazda RX4 Wag,114
Hornet Sportabout,134
AMC Javelin,144
Dodge Challenger,107
Porsche 914-2,106
Pontiac Firebird,123
Ford Pantera L,83
Duster 360,121
Duster 360,131
Honda Civic,139
Valiant,92
Toyota Corolla,94
Ford Pantera L,105
Ford Pantera L,93
Hornet Sportabout,136
Toyota Corona,96
Mazda RX4 Wag,100
Honda Civic,110
Hornet Sportabout,134
AMC Javelin,156
Dodge Challenger,113
Merc 280C,142
Dodge Challenger,105
Merc 280,152
Pontiac Firebird,118
Valiant,108
Merc 280,138
Ford Pantera L,86
Pontiac Firebird,102
Merc 450SL,114
Honda Civic,149
Merc 450SE,139
Hornet 4 Drive,137
Merc 450SL,99
Porsche 914-2,109
Hornet Sportabout,165
Fiat X1-9,115
Porsche 914-2,104
Volvo 142E,106
AMC Javelin,137
Merc 230,130
Valiant,98
Volvo 142E,85
Pontiac Firebird,114
Honda Civic,131
Ford Pantera L,104
Porsche 914-2,114
Honda Civic,149
Volvo 142E,93
AMC Javelin,146
Dodge Challenger,105
Duster 360,131
Merc 450SL,112
Merc 280,130
Hornet Sportabout,148
Datsun 710,141
Volvo 142E,90
Dodge Challenger,94
Merc 450SLC,128
Lincoln Continental,138
Merc 450SE,157
Valiant,106
Merc 280C,139
Cadillac Fleetwood,137
Fiat X1-9,102
Ferrari Dino,154
Pontiac Firebird,111
Mazda RX4 Wag,104
Merc 450SLC,135
Lotus Europa,89
Pontiac Firebird,123
Hornet Sportabout,153
Merc 280,145
Lotus Europa,109
Chrysler Imperial,133
Ford Pantera L,109
Ford Pantera L,74
Maserati Bora,122
Merc 450SL,100
Merc 230,118
Merc 230,107
Hornet Sportabout,156
Porsche 914-2,97
Duster 360,130
Ford Pantera L,95
Ford Pantera L,80
Porsche 914-2,106
Lotus Europa,106
Duster 360,123
Merc 240D,156
Fiat X1-9,104
Lotus Europa,108
Merc 450SE,141
Merc 230,139
Fiat X1-9,122
Merc 240D,125
Pontiac Firebird,118
Merc 280C,150
Dodge Challenger,107
Merc 450SL,108
Mazda RX4 Wag,109
Volvo 142E,91
Hornet Sportabout,153
Merc 280,139
Merc 450SL,97
Merc 450SLC,118
Merc 230,123
Maserati Bora,117
Fiat 128,114
Merc 450SLC,87
Pontiac Firebird,120
Merc 450SE,140
Camaro Z28,157
Fiat X1-9,96
Pontiac Firebird,108
Pontiac Firebird,144
Pontiac Firebird,118
Hornet Sportabout,137
Merc 280C,148
Honda Civic,120
Hornet 4 Drive,122
Valiant,108
Merc 280C,146
Merc 450SL,88
Valiant,101
Hornet Sportabout,135
Hornet Sportabout,146
Camaro Z28,140
Dodge Challenger,94
Camaro Z28,135
Merc 280C,155
Ferrari Dino,144
Pontiac Firebird,106
Dodge Challenger,120
Fiat X1-9,112
AMC Javelin,152
Merc 280C,148
Merc 230,128
Pontiac Firebird,138
Datsun 710,139
Volvo 142E,109
Merc 280,120
Hornet Sportabout,143
AMC Javelin,142
Camaro Z28,142
Volvo 142E,103
Hornet Sportabout,140
Porsche 914-2,119
Cadillac Fleetwood,121
Ford Pantera L,78
Merc 240D,141
Merc 280C,130
Porsche 914-2,101
Pontiac Firebird,127
Honda Civic,130
Merc 230,108
Merc 450SE,160
Ferrari Dino,118
Duster 360,141
Datsun 710,137
Lotus Europa,98
Hornet 4 Drive,135
Merc 280,135
Mazda RX4 Wag,123
Datsun 710,131
Fiat X1-9,106
Duster 360,141
Camaro Z28,138
Toyota Corona,88
Mazda RX4 Wag,103
Duster 360,136
Duster 360,138
Merc 450SL,88
Merc 280,131
Pontiac Firebird,105
Hornet 4 Drive,145
Merc 280C,140
Ferrari Dino,124
Hornet 4 Drive,132
Porsche 914-2,98
Hornet 4 Drive,140
Maserati Bora,89
Toyota Corona,79
Datsun 710,136
Duster 360,130
Merc 280C,138
Dodge Challenger,106
Fiat 128,98
Dodge Challenger,117
Pontiac Firebird,120
Honda Civic,124
Hornet 4 Drive,136
Merc 230,118
Maserati Bora,125
Honda Civic,143
Maserati Bora,141
Merc 230,120
Honda Civic,138
Merc 280,147
Hornet Sportabout,145
Merc 240D,145
Mazda RX4 Wag,108
Cadillac Fleetwood,137
Valiant,104
Merc 450SLC,127
Volvo 142E,114
Hornet Sportabout,144
Merc 280C,153
Hornet Sportabout,143
Hornet 4 Drive,133
Fiat X1-9,125
Volvo 142E,110
Dodge Challenger,129
Toyota Corona,101
